name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
Z[278,2]	-0.157	0.0121	0.639	-1.22	-0.181	0.883	2794.0	9.46	1.0
Z[278,3]	-0.0405	0.0124	0.665	-1.14	-0.0395	1.07	2880.0	9.75	1.0
Z[278,4]	0.379	0.0131	0.631	-0.659	0.384	1.43	2336.0	7.91	1.0
Z[278,5]	-0.243	0.0127	0.687	-1.34	-0.24	0.874	2907.0	9.84	1.0
Z[278,6]	0.266	0.012	0.62	-0.744	0.265	1.32	2684.0	9.09	1.0
Z[278,7]	-0.166	0.0127	0.576	-1.09	-0.165	0.778	2049.0	6.94	1.0
Z[279,1]	0.435	0.0121	0.463	-0.324	0.436	1.22	1467.0	4.97	1.0
Z[279,2]	-0.252	0.0126	0.65	-1.36	-0.24	0.79	2664.0	9.02	0.999
Z[279,3]	-1.2	0.0128	0.641	-2.25	-1.21	-0.132	2514.0	8.51	1.0
Z[279,4]	-0.831	0.0127	0.687	-1.99	-0.823	0.293	2914.0	9.87	1.0
Z[279,5]	0.304	0.0126	0.737	-0.889	0.308	1.52	3426.0	11.6	0.998
Z[279,6]	1.0	0.0133	0.661	-0.07	1.01	2.1	2484.0	8.41	1.0
Z[279,7]	1.44	0.0133	0.67	0.376	1.43	2.55	2549.0	8.63	1.0
Z[280,1]	-0.786	0.0121	0.452	-1.52	-0.777	-0.0559	1392.0	4.71	1.0
Z[280,2]	1.12	0.0134	0.672	0.0167	1.12	2.22	2497.0	8.46	0.999
Z[280,3]	-1.32	0.013	0.757	-2.59	-1.31	-0.12	3380.0	11.4	1.0
Z[280,4]	-0.0326	0.0129	0.664	-1.12	-0.0274	1.01	2651.0	8.98	0.999
Z[280,5]	-1.45	0.013	0.7	-2.58	-1.46	-0.286	2914.0	9.87	0.999
Z[280,6]	0.959	0.0124	0.636	-0.108	0.963	2.0	2627.0	8.9	0.999
Z[280,7]	-0.108	0.0132	0.582	-1.08	-0.117	0.851	1943.0	6.58	1.0
Z[281,1]	-0.337	0.0111	0.442	-1.07	-0.333	0.363	1581.0	5.35	1.0
Z[281,2]	-0.95	0.0117	0.72	-2.17	-0.952	0.224	3765.0	12.7	0.999
Z[281,3]	-0.406	0.0115	0.666	-1.5	-0.395	0.656	3358.0	11.4	0.999
Z[281,4]	0.375	0.0128	0.612	-0.644	0.399	1.38	2288.0	7.75	0.999
Z[281,5]	0.707	0.0124	0.711	-0.452	0.695	1.89	3302.0	11.2	1.0
Z[281,6]	0.437	0.0123	0.637	-0.605	0.438	1.49	2664.0	9.02	1.0
Z[281,7]	-0.549	0.0121	0.591	-1.49	-0.546	0.432	2392.0	8.1	0.999
Z[282,1]	-0.41	0.012	0.45	-1.16	-0.399	0.338	1414.0	4.79	1.0
Z[282,2]	-1.35	0.0118	0.746	-2.61	-1.34	-0.151	3973.0	13.5	0.999
Z[282,3]	0.602	0.0126	0.623	-0.427	0.612	1.62	2425.0	8.21	0.998
Z[282,4]	0.636	0.0137	0.621	-0.377	0.64	1.66	2047.0	6.93	1.0
Z[282,5]	1.63	0.0141	0.795	0.338	1.63	2.93	3162.0	10.7	0.999
Z[282,6]	-1.25	0.0123	0.65	-2.31	-1.24	-0.178	2798.0	9.47	0.999
Z[282,7]	-0.734	0.0129	0.571	-1.7	-0.742	0.209	1971.0	6.67	1.0
Z[283,1]	0.966	0.0122	0.445	0.252	0.964	1.72	1330.0	4.5	1.0
Z[283,2]	-1.68	0.0125	0.686	-2.81	-1.69	-0.56	2997.0	10.1	1.0
Z[283,3]	2.19	0.014	0.683	1.09	2.18	3.31	2385.0	8.08	0.999
Z[283,4]	2.02	0.011	0.668	0.902	2.03	3.12	3666.0	12.4	0.999
Z[283,5]	0.0326	0.0135	0.743	-1.13	0.0139	1.26	3036.0	10.3	1.0
Z[283,6]	-0.842	0.0134	0.619	-1.85	-0.837	0.191	2129.0	7.21	1.0
Z[283,7]	-0.744	0.0129	0.574	-1.69	-0.757	0.228	1980.0	6.71	1.0
Z[284,1]	-0.144	0.0111	0.452	-0.897	-0.145	0.599	1658.0	5.61	1.0
Z[284,2]	-0.36	0.0118	0.66	-1.42	-0.377	0.706	3111.0	10.5	1.0
Z[284,3]	-1.21	0.0118	0.722	-2.39	-1.2	-0.0455	3731.0	12.6	1.0
Z[284,4]	0.315	0.013	0.625	-0.729	0.302	1.34	2297.0	7.78	0.999
Z[284,5]	-0.124	0.0122	0.701	-1.27	-0.126	1.02	3303.0	11.2	0.999
Z[284,6]	-0.166	0.0125	0.644	-1.22	-0.174	0.914	2663.0	9.02	1.0
Z[284,7]	1.44	0.0129	0.642	0.424	1.44	2.54	2476.0	8.38	1.0
Z[285,1]	0.378	0.011	0.439	-0.382	0.388	1.1	1592.0	5.39	0.999
Z[285,2]	-0.859	0.012	0.67	-1.96	-0.86	0.254	3138.0	10.6	1.0
Z[285,3]	0.325	0.0121	0.617	-0.7	0.313	1.33	2585.0	8.75	1.0
Z[285,4]	-0.232	0.0117	0.61	-1.22	-0.252	0.789	2729.0	9.24	0.999
Z[285,5]	0.78	0.0144	0.751	-0.423	0.783	2.04	2705.0	9.16	1.0
Z[285,6]	-1.08	0.0132	0.645	-2.16	-1.09	-0.0114	2382.0	8.07	1.0
Z[285,7]	1.47	0.0133	0.675	0.408	1.44	2.62	2561.0	8.67	1.0
Z[286,1]	0.125	0.0118	0.453	-0.625	0.122	0.877	1467.0	4.97	1.0
Z[286,2]	0.328	0.0128	0.679	-0.799	0.332	1.46	2825.0	9.57	1.0
Z[286,3]	-1.01	0.0122	0.674	-2.11	-1.01	0.109	3054.0	10.3	0.999
Z[286,4]	-0.945	0.0128	0.697	-2.11	-0.942	0.169	2967.0	10.0	0.999
Z[286,5]	-0.268	0.0127	0.724	-1.46	-0.273	0.928	3245.0	11.0	0.999
Z[286,6]	1.42	0.0129	0.695	0.301	1.42	2.59	2906.0	9.84	0.999
Z[286,7]	0.547	0.0133	0.598	-0.445	0.549	1.5	2018.0	6.83	1.0
Z[287,1]	-0.226	0.0112	0.439	-0.968	-0.224	0.484	1545.0	5.23	0.999
Z[287,2]	0.746	0.0117	0.604	-0.222	0.726	1.74	2647.0	8.96	0.999
Z[287,3]	-0.456	0.0117	0.655	-1.56	-0.44	0.653	3137.0	10.6	0.999
Z[287,4]	0.142	0.0121	0.614	-0.838	0.145	1.15	2565.0	8.68	1.0
Z[287,5]	-0.686	0.0117	0.703	-1.83	-0.682	0.415	3599.0	12.2	0.999
Z[287,6]	0.288	0.0117	0.618	-0.727	0.302	1.29	2788.0	9.44	1.0
Z[287,7]	-0.195	0.0124	0.56	-1.12	-0.189	0.722	2048.0	6.93	0.999
