name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
W[15,31]	0.073	0.025	1.7	-2.7	0.11	2.8	4612.0	0.17	1.0
W[15,32]	-0.049	0.023	1.7	-2.8	-0.042	2.7	5027.0	0.18	1.0
W[15,33]	0.51	0.025	1.6	-2.3	0.52	3.1	4457.0	0.16	1.0
W[15,34]	-0.36	0.026	1.7	-3.2	-0.32	2.4	4297.0	0.16	1.0
W[15,35]	0.15	0.027	1.7	-2.6	0.15	2.9	4030.0	0.15	1.0
W[15,36]	-0.14	0.021	1.6	-2.7	-0.14	2.5	5914.0	0.22	1.0
W[15,37]	0.022	0.026	1.6	-2.6	-0.0035	2.8	4080.0	0.15	1.0
W[15,38]	-0.21	0.024	1.7	-3.1	-0.24	2.7	5188.0	0.19	1.0
W[15,39]	0.8	0.027	1.8	-2.2	0.82	3.7	4441.0	0.16	1.0
W[15,40]	-0.33	0.025	1.7	-3.0	-0.35	2.4	4592.0	0.17	1.0
W[15,41]	0.02	0.023	1.8	-3.0	0.069	2.9	6179.0	0.23	1.0
W[15,42]	0.23	0.026	1.7	-2.6	0.23	2.9	4202.0	0.15	1.0
W[15,43]	-0.89	0.028	1.8	-3.9	-0.89	2.1	4306.0	0.16	1.0
W[15,44]	-0.33	0.026	1.7	-3.1	-0.33	2.4	4371.0	0.16	1.0
W[15,45]	-0.52	0.024	1.7	-3.2	-0.5	2.2	4775.0	0.17	1.0
W[15,46]	0.35	0.026	1.6	-2.3	0.39	2.9	3904.0	0.14	1.0
W[15,47]	0.0012	0.026	1.7	-2.8	0.036	2.9	4578.0	0.17	1.0
W[15,48]	0.33	0.028	1.8	-2.5	0.32	3.3	4028.0	0.15	1.0
W[15,49]	-0.054	0.031	1.9	-3.2	-0.077	3.0	3623.0	0.13	1.0
W[15,50]	-0.00023	0.025	1.7	-2.7	-0.014	2.7	4547.0	0.17	1.0
W[15,51]	-0.23	0.026	1.8	-3.1	-0.32	2.8	4878.0	0.18	1.0
W[15,52]	-0.14	0.024	1.7	-2.9	-0.14	2.6	4856.0	0.18	1.0
W[15,53]	-0.12	0.024	1.7	-2.8	-0.16	2.6	4765.0	0.17	1.0
W[15,54]	0.026	0.029	1.7	-2.7	0.037	2.8	3314.0	0.12	1.0
W[15,55]	0.071	0.025	1.6	-2.7	0.091	2.8	4202.0	0.15	1.0
W[15,56]	-0.022	0.028	1.7	-2.7	-0.025	2.7	3591.0	0.13	1.0
W[15,57]	-1.6	0.036	2.1	-5.2	-1.5	1.7	3429.0	0.13	1.0
W[15,58]	0.056	0.025	1.7	-2.8	0.07	2.9	4572.0	0.17	1.0
W[15,59]	-0.045	0.028	1.7	-2.7	-0.016	2.6	3449.0	0.13	1.0
W[15,60]	-2.4	0.032	1.8	-5.4	-2.4	0.59	3313.0	0.12	1.0
W[15,61]	0.074	0.024	1.6	-2.5	0.067	2.7	4825.0	0.18	1.0
W[15,62]	0.072	0.026	1.8	-2.9	0.098	3.0	4662.0	0.17	1.0
W[15,63]	-0.65	0.023	1.6	-3.4	-0.63	2.0	4861.0	0.18	1.0
W[15,64]	-0.28	0.025	1.6	-3.0	-0.25	2.3	4440.0	0.16	1.0
W[15,65]	-0.12	0.025	1.7	-2.8	-0.14	2.6	4366.0	0.16	1.0
W[15,66]	0.26	0.025	1.7	-2.6	0.26	3.0	4786.0	0.18	1.0
W[15,67]	0.13	0.027	1.7	-2.8	0.15	2.9	4218.0	0.15	1.0
W[15,68]	0.27	0.025	1.6	-2.4	0.25	2.9	4288.0	0.16	1.0
W[15,69]	-0.32	0.024	1.7	-3.1	-0.33	2.5	5099.0	0.19	1.0
W[15,70]	-0.3	0.023	1.7	-3.1	-0.27	2.4	4997.0	0.18	1.0
W[15,71]	-0.57	0.026	1.7	-3.3	-0.57	2.1	4242.0	0.16	1.0
W[15,72]	-1.3	0.032	1.9	-4.4	-1.2	1.8	3621.0	0.13	1.0
W[15,73]	-0.55	0.027	1.8	-3.5	-0.49	2.3	4291.0	0.16	1.0
W[15,74]	0.25	0.023	1.7	-2.5	0.19	3.0	5834.0	0.21	1.0
W[15,75]	0.14	0.027	1.6	-2.5	0.11	2.8	3476.0	0.13	1.0
W[15,76]	0.3	0.025	1.7	-2.4	0.28	3.0	4722.0	0.17	1.0
W[15,77]	0.49	0.025	1.6	-2.3	0.51	3.1	4253.0	0.16	1.0
W[15,78]	-1.0	0.036	2.0	-4.5	-0.99	2.3	3256.0	0.12	1.0
W[15,79]	0.037	0.026	1.7	-2.7	0.036	2.8	4436.0	0.16	1.0
W[15,80]	-0.48	0.03	1.9	-3.6	-0.49	2.6	3928.0	0.14	1.0
W[15,81]	-0.0079	0.024	1.7	-2.8	-0.025	2.8	4935.0	0.18	1.0
W[15,82]	-0.69	0.024	1.7	-3.4	-0.68	2.2	5437.0	0.2	1.0
W[15,83]	0.21	0.025	1.7	-2.5	0.21	3.0	4459.0	0.16	1.0
W[15,84]	-1.1	0.028	1.8	-4.2	-1.2	1.8	4217.0	0.15	1.0
W[15,85]	-0.62	0.025	1.7	-3.3	-0.64	2.1	4499.0	0.16	1.0
W[15,86]	-0.25	0.024	1.6	-2.9	-0.22	2.4	4629.0	0.17	1.0
W[15,87]	0.14	0.025	1.6	-2.5	0.16	2.8	4215.0	0.15	1.0
W[15,88]	0.26	0.027	1.7	-2.5	0.26	2.9	3814.0	0.14	1.0
W[15,89]	0.46	0.02	1.6	-2.2	0.47	3.1	6442.0	0.24	1.0
W[15,90]	0.41	0.025	1.7	-2.3	0.44	3.2	4320.0	0.16	1.0
W[15,91]	-0.19	0.027	1.8	-3.1	-0.22	2.6	4158.0	0.15	1.0
W[15,92]	-0.39	0.026	1.6	-3.1	-0.4	2.3	3989.0	0.15	1.0
W[15,93]	-0.075	0.024	1.7	-3.0	-0.026	2.7	5038.0	0.18	1.0
W[15,94]	-0.034	0.027	1.6	-2.8	-0.02	2.6	3658.0	0.13	1.0
W[15,95]	0.019	0.026	1.7	-2.8	0.05	2.9	4342.0	0.16	1.0
W[15,96]	-0.35	0.026	1.8	-3.4	-0.32	2.6	4872.0	0.18	1.0
W[15,97]	0.25	0.026	1.7	-2.5	0.23	3.0	4287.0	0.16	1.0
W[15,98]	0.017	0.027	1.8	-2.9	-0.019	3.0	4304.0	0.16	1.0
W[15,99]	0.076	0.025	1.7	-2.8	0.057	3.0	4469.0	0.16	1.0
W[15,100]	0.48	0.026	1.7	-2.5	0.5	3.2	4374.0	0.16	1.0
W[15,101]	-0.38	0.026	1.7	-3.3	-0.4	2.6	4363.0	0.16	1.0
W[15,102]	0.35	0.025	1.7	-2.6	0.37	3.1	4558.0	0.17	1.0
W[15,103]	0.35	0.026	1.6	-2.4	0.35	3.1	3904.0	0.14	1.0
W[15,104]	0.18	0.025	1.7	-2.6	0.23	2.9	4326.0	0.16	1.0
W[15,105]	-1.1	0.03	1.7	-3.9	-1.1	1.8	3354.0	0.12	1.0
W[15,106]	0.36	0.023	1.7	-2.4	0.37	3.1	5195.0	0.19	1.0
