platform,subject,block,trial,correct,choice,key,rt,accuracy,outcome
mturk,02rwq76tp9lcye8vrl41llnh,2,25,0,0.0,37.0,0.306,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,2,26,0,1.0,38.0,0.008,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,2,27,0,2.0,39.0,0.157,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,2,28,0,1.0,38.0,1.048,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,2,29,0,1.0,38.0,0.677,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,2,30,0,1.0,38.0,0.144,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,3,31,2,1.0,38.0,0.472,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,32,2,1.0,38.0,0.464,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,3,33,2,0.0,37.0,1.01,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,3,34,2,2.0,39.0,1.213,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,35,2,1.0,38.0,0.961,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,36,2,2.0,39.0,0.606,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,3,37,2,1.0,38.0,0.274,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,3,38,2,2.0,39.0,0.146,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,39,2,2.0,39.0,0.409,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,40,2,0.0,37.0,1.625,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,41,2,2.0,39.0,0.8,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,42,2,1.0,38.0,2.52,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,3,43,2,2.0,39.0,1.088,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,3,44,2,0.0,37.0,0.847,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,3,45,2,0.0,37.0,0.623,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,46,0,1.0,38.0,0.852,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,47,0,0.0,37.0,0.771,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,48,0,2.0,39.0,0.608,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,49,0,0.0,37.0,0.55,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,50,0,2.0,39.0,0.549,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,51,0,2.0,39.0,0.657,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,52,0,1.0,38.0,0.858,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,4,53,0,1.0,38.0,1.345,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,4,54,0,1.0,38.0,0.493,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,55,0,2.0,39.0,1.027,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,56,0,1.0,38.0,0.428,0.0,0.0
