platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,60,0,0.0,37.0,0.556,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,61,1,0.0,37.0,0.467,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,62,1,1.0,38.0,0.248,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,63,1,1.0,38.0,0.418,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,64,1,1.0,38.0,1.197,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,65,1,1.0,38.0,0.767,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,66,1,1.0,38.0,0.58,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,67,1,1.0,38.0,0.555,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,68,1,1.0,38.0,0.372,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,69,1,1.0,38.0,0.379,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,70,1,1.0,38.0,0.427,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,71,1,1.0,38.0,0.747,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,72,1,1.0,38.0,0.434,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,73,1,1.0,38.0,0.434,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,74,1,1.0,38.0,0.405,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,75,1,1.0,38.0,0.331,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,76,2,1.0,38.0,0.315,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,77,2,1.0,38.0,0.341,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,78,2,2.0,39.0,0.061,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,79,2,2.0,39.0,0.394,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,80,2,2.0,39.0,0.365,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,81,2,0.0,37.0,0.573,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,82,2,1.0,38.0,1.095,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,83,2,2.0,39.0,0.578,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,84,2,2.0,39.0,0.324,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,85,2,2.0,39.0,0.917,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,86,2,2.0,39.0,0.693,1.0,1.0
