platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,02rwq76tp9lcye8vrl41llnh,67,2,2.0,39.0,0.296,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,68,2,2.0,39.0,0.309,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,69,2,2.0,39.0,0.702,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,70,2,2.0,39.0,0.35,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,71,2,2.0,39.0,0.425,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,72,2,2.0,39.0,0.394,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,73,2,1.0,38.0,0.231,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,74,2,2.0,39.0,0.692,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,75,2,2.0,39.0,0.282,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,76,0,2.0,39.0,0.604,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,77,0,2.0,39.0,5.352,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,78,0,2.0,39.0,0.58,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,79,0,2.0,39.0,0.629,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,80,0,1.0,38.0,0.965,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,81,0,2.0,39.0,0.365,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,82,0,0.0,37.0,0.257,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,83,0,0.0,37.0,0.503,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,84,0,0.0,37.0,0.231,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,85,0,0.0,37.0,0.756,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,86,0,2.0,39.0,0.531,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,87,0,1.0,38.0,0.392,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,88,0,2.0,39.0,0.627,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,89,0,0.0,37.0,0.477,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,90,0,0.0,37.0,0.307,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,1,1.0,38.0,0.922,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,1,0.0,37.0,1.045,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,1,2.0,39.0,0.929,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,1,1.0,38.0,0.662,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,1,2.0,39.0,0.49,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,1,1.0,38.0,0.402,1.0,1.0
